strike,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-15,2023-10-20,2023-11-17,2023-12-15,2024-01-19,2024-03-15,2024-06-21,2024-09-20,2025-01-17,2025-06-20,2025-12-19
0.0,8.099529497961333e-05,0.12845924380730026,0.0648481422750782,0.0012370407428561215,0.03108413252854902,0.060931224314241916,0.002377102867744019,0.00019265910999031745,4.9124214729801e-05,0.00014689938958017956,0.00024467456443055813,0.00038895518633738396,0.0005332358082442098,0.0006775164301510356,0.0008217970520578615,0.0009660776739646873,0.0011103582958715131,0.001254638917778339
1.0,8.09952949796855e-05,0.12845611880730062,0.06483172003945256,0.0012073212716045111,0.0313121013767979,0.061416881481991294,0.0024705479146896526,0.00018704342285602026,3.0374214729678162e-05,0.00013127438958008552,0.00023217456443049288,0.00031750460109166714,0.00040283463775284134,0.0004881646744140156,0.0005734947110751899,0.0006588247477363641,0.0007441547843975383,0.0013044375965510836
2.0,7.876392369119966e-05,0.12103871491061242,0.061108158355482556,0.00117760180035269,0.032882051601800945,0.0645865014032492,0.0025757243628295955,0.00018292408652079706,2.5556614345989547e-05,0.0001206760507595911,0.00021579548717319265,0.0022443842133238793,0.004272972939474566,0.006301561665625253,0.008330150391775938,0.010358739117926624,0.012387327844077312,0.0013568973167333797
3.0,7.443337475905309e-05,0.1044597995049285,0.05280384091701486,0.0011478823291012185,0.0354323395680456,0.06971679680698997,0.0026925638496728133,0.00018056407622914493,3.62033420315544e-05,0.00011769350588615168,0.00019918366974074896,0.003952188873743257,0.007705194077745765,0.011458199281748273,0.01521120448575078,0.018964209689753285,0.022717214893755795,0.0014093956094762884
4.0,6.83026843524448e-05,0.07892713703859286,0.04002264994822123,0.0011181628578496084,0.03838271481890804,0.07564726677996646,0.002817617571559838,0.00018015232923474512,5.847319797922523e-05,0.00012168842437070281,0.0001849036507621804,0.005236124609567163,0.010287345568372146,0.01533856652717713,0.02038978748598211,0.025441008444787094,0.030492229403592076,0.0014596845861971242
5.0,6.083773116365987e-05,0.046603489020601144,0.02384596620359957,0.001088443386597998,0.040934320076653596,0.0807801967667092,0.0029440562836624885,0.0001818037448015286,8.315185411845172e-05,0.00012879501226560343,0.0001744381704127551,0.005997662205942026,0.011820886241471299,0.01764411027700057,0.02346733431252984,0.029290558348059114,0.03511378238358838,0.0015058909385809506
6.0,5.267123640784743e-05,0.011606614020601288,0.006332668967973804,0.0010587239153463212,0.0420696912424366,0.08308065856952687,0.0030616702999844867,0.00018555918420268825,9.56518541187279e-05,0.00013192001226567385,0.0001681881704126198,0.006244537205941908,0.012320886241471197,0.018397235277000486,0.024473584312529776,0.030549933348059066,0.03662628238358835,0.0015465159385807726
7.0,4.4551897128497495e-05,0.0003727027461172576,0.0007008535951060176,0.0010290044440947777,0.040696598014540085,0.0803641915849854,0.0031586529363123008,0.0001913837375778382,7.972973030461738e-05,0.00012269434784027144,0.0001656589653759255,0.0060759248503699115,0.011986190735363897,0.01789645662035788,0.023806722505351867,0.029716988390345853,0.03562725427533984,0.0015804468733406907
8.0,3.7140919416173146e-05,0.0003578556038916954,0.0006785702883672177,0.00099928497284274,0.036223406361334656,0.07144752774982657,0.0032287342820211838,0.0001991597913680476,3.2354471332568524e-05,9.927969976399054e-05,0.00016620492819541255,0.005623139836954109,0.011080074745712806,0.016537009654471503,0.0219939445632302,0.027450879471988897,0.032907814380747594,0.0016070027848876123
9.0,3.096115171373759e-05,0.00034382926833963115,0.0006566973849655248,0.0009695655015914184,0.02870291913952013,0.05643627277744884,0.003272964643025883,0.0002086852951703855,0.00019552875057658275,0.00018237220598278,0.00016921566138897726,0.005034811260146816,0.009900406858904654,0.014766002457662493,0.019631598056420334,0.024497193655178173,0.02936278925393601,0.0016259459050556979
10.0,2.6397084815954486e-05,0.0003308800666571466,0.0006353630484983386,0.0009398460303395306,0.018832376094122343,0.036724906157905156,0.003299714541781551,0.00021967376174011343,0.0007684709420535563,0.001317268122366999,0.00017411599710129289,0.00447688261112579,0.008779649225150288,0.013082415839174785,0.017385182453199283,0.02168794906722378,0.025990715681248278,0.0016374816554863946
11.0,2.369485186868303e-05,0.000319172087608451,0.000614649323348219,0.000910126559087987,0.007953453858496681,0.014996781157905375,0.0033246747172826106,0.00023175426698927027,0.004107323694678263,0.007982893122367257,0.0001803659971014282,0.004132611777792569,0.008084857558483708,0.012037103339174848,0.01598934911986599,0.01994159490055713,0.02389384068124827,0.00164225864762656
12.0,2.2960088623874553e-05,0.0003087757550279698,0.000594591421432065,0.0008804070878361603,0.0017096728094084135,0.0025389385309806667,0.00336820425255292,0.0002444972352096675,4.7274464436669605e-05,0.013415068651056572,0.00018748127720812356,0.004178851906767114,0.008170222536326105,0.012161593165885096,0.016152963795444085,0.020144334425003074,0.024135705054562064,0.0016412988906058246
13.0,2.4149374449744522e-05,0.0002996621218280834,0.0005751748692064222,0.000850687616584761,0.0017153661059236196,0.0025800445952624783,0.0034447230846013366,0.0002575175799517382,0.00028600377263863775,0.01738782352557457,0.00019511430498468375,0.004371696271855824,0.008931652534135337,0.01349160879641485,0.01805156505869436,0.022611521320973875,0.02717147758325339,0.0016357186227359932
14.0,2.7068092583842908e-05,0.0002917014435001845,0.0005563347944165261,0.0008209681453328676,0.0017339988075256146,0.0026470294697183614,0.003560060131911108,0.0002705004892494145,0.0005843282455798238,0.01985288248157659,0.00020307472416149496,0.008457275669872217,0.013306928252030701,0.01815658083418918,0.023006233416347666,0.02785588599850615,0.032705538580664634,0.0016266585193812188
15.0,3.137043013368146e-05,0.000284663178116303,0.0005379559260989246,0.000791248674081546,0.0017646502142009282,0.0027380517543203107,0.0037114532944396927,0.00028320142561803486,0.0008243996707005153,0.020939666173233888,0.00021132935463690216,0.010279022512572022,0.01616151398834132,0.022044005464110623,0.027926496939879922,0.03380898841564922,0.039691479891418524,0.0016152836929649804
